ID,Reference,Site,Lat,Long,Biome,LandUse,HumFoot,MAP,MAT,SOC,BulkDens,SoilNit,SoilSand,soilpH,Methane
21,Barrena et al. 2013,"Artzentales, Spain",43.21,-3.18,Temperate,Reforestation,65,1096,13,493,115,30,53,4.8,10.5
22,Barrena et al. 2013,"Artzentales, Spain",43.21,-3.18,Temperate,Reforestation,65,1096,13,493,115,30,53,4.8,6.877
24,von Arnold et al. 2005a,"Asa, Sweden",57.13,14.75,Boreal,Afforestation,28,680,6,763,111,40,52,5,9.286
25,von Arnold et al. 2005a,"Asa, Sweden",57.13,14.75,Boreal,Afforestation,28,680,6,763,111,40,52,5,-6.57
26,von Arnold et al. 2005a,"Asa, Sweden",57.13,14.75,Boreal,Afforestation,28,680,6,763,111,40,52,5,-0.905
27,von Arnold et al. 2005b,"Asa, Sweden",57.13,14.75,Boreal,Afforestation,28,680,6,763,111,40,52,5,-4.964
28,von Arnold et al. 2005b,"Asa, Sweden",57.13,14.75,Boreal,Afforestation,28,680,6,763,111,40,52,5,-3.173
29,von Arnold et al. 2005b,"Asa, Sweden",57.13,14.75,Boreal,Afforestation,28,680,6,763,111,40,52,5,-7.201
30,do Carmo et al. 2012,"Atlantic Montane Forest, Brazil",-23.32,-45.09,Tropical,Primary Forest,34,1754,17,251,116,16,20,4.5,-6.872
31,Fang et al. 2016,"Baoying Agriculture Farm, Chi",33.36,119.25,Temperate,Afforestation,56,866,15,135,120,14,16,5.8,-0.73
32,Fest et al. 2016a,"Barkstead, Australia",-37.48,144.8,Temperate,Secondary Forest,34,673,13,124,135,10,49,5.9,-2.433
33,Luo et al. 2013,"Bellenden Ker, Australia",-17.26,145.9,Tropical,Primary Forest,39,4756,24,144,110,9,52,6.2,2.041
34,Steinkamp et al. 2001,"Black Forest, Germany ",48.5,8.36,Temperate,Afforestation,43,1533,8,391,130,21,52,4,2.54
35,Kim & Tanaka 2003,"Bonza Creek, USA",64.75,-148.3,Boreal,Primary Forest,20,296,-2,1606,69,44,36,5,-0.556
36,Gulledge & Schimel 2000,"Bonza Creek, USA ",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,0.124
37,Gulledge & Schimel 2000,"Bonza Creek, USA ",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,21.44
38,Brümmer et al. 2009,"Botioli Reserve, Ouagadougou, Burkina Faso",10.8654,-3.0726,Savanna,Primary Forest,34,943,28,124,135,13,31,6.7,39.55
39,Brümmer et al. 2009,"Botioli Reserve, Ouagadougou, Burkina Faso",10.8654,-3.0726,Savanna,Primary Forest,34,943,28,124,135,13,31,6.7,-0.8
40,Rivera et al. 2019,"Cauca Valley, Colombia",3.6441,-76.3197,Tropical,Secondary Forest,65,1466,23,228,128,13,48,5.9,-2.53
41,Rivera et al. 2019,"Cauca Valley, Colombia",3.6441,-76.3197,Tropical,Agroforestry,65,1466,23,228,128,13,48,5.9,-1.53
42,Murdiyarso et al. 2017,"Central Kalimantan, Indonesia",-2.5436,113.0111,Tropical,Secondary Forest,42,2583,27,497,111,30,39,4.8,-0.591
43,Murdiyarso et al. 2017,"Central Kalimantan, Indonesia",-2.5436,113.0111,Tropical,Secondary Forest,42,2583,27,497,111,30,39,4.8,-0.555
44,Allen et al. 2009,"Central New South Wales, Australia",-33,149,Subtropical,Afforestation,21,787,15,92,140,9,52,6.9,-3.147
45,Allen et al. 2009,"Central New South Wales, Australia",-33,149,Subtropical,Afforestation,21,787,15,92,140,9,52,6.9,-3.528
46,Allen et al. 2009,"Central New South Wales, Australia",-33,149,Subtropical,Agroforestry,21,787,15,92,140,9,52,6.9,-2.845
47,Fang et al. 2010,"Changbai Mountain, China",42.4,128.08,Temperate,Reforestation,28,680,3,521,104,27,40,6,-3.08
48,Fang et al. 2010,"Changbai Mountain, China",42.4,128.08,Temperate,Reforestation,28,680,3,521,104,27,40,6,-1.226
49,Huang et al. 2016,"Changsha Dashan Chong Forest Park, Chi",28.38,113.28,Subtropical,Reforestation,28,1395,17,158,120,16,30,5.2,-6.552
50,Huang et al. 2016,"Changsha Dashan Chong Forest Park, Chi",28.38,113.28,Subtropical,Reforestation,28,1395,17,158,120,16,30,5.2,-3.486
51,Huang et al. 2016,"Changsha Dashan Chong Forest Park, Chi",28.38,113.28,Subtropical,Reforestation,28,1395,17,158,120,16,30,5.2,-3.31
52,Wanyama et al. 2019,"Chepsir, Kenia",-0.2947,35.4177,Tropical,Primary Forest,39,1551,16,241,115,29,21,4.7,-3.816
53,Morishita et al. 2007,"Chiba-1, Japan",35.2,140.13,Subtropical,Reforestation,34,1756,14,201,122,18,30,6.4,-4.558
54,Morishita et al. 2007,"Chiba-2, Japan",35.2,140.15,Subtropical,Primary Forest,34,1759,14,201,122,18,30,6.4,-0.8
55,Wang et al. 2010,"Chinese Academy of Forestry Experimental Center, Chi",22.16,106.83,Subtropical,Reforestation,32,1311,22,119,123,11,47,5.3,4.6
56,Wang et al. 2010,"Chinese Academy of Forestry Experimental Center, Chi",22.16,106.83,Subtropical,Reforestation,32,1311,22,119,123,11,47,5.3,21
57,Wang et al. 2010,"Chinese Academy of Forestry Experimental Center, Chi",22.16,106.83,Subtropical,Reforestation,32,1311,22,119,123,11,47,5.3,-0.95
58,Wang et al. 2010,"Chinese Academy of Forestry Experimental Center, Chi",22.16,106.83,Subtropical,Reforestation,32,1311,22,119,123,11,47,5.3,-3.75
59,Yu et al. 2019,"Chongqing City, China",29.6337,106.6835,Subtropical,Secondary Forest,28,1145,18,413,105,33,36,4.9,8.267
60,Yu et al. 2019,"Chongqing City, China",29.6337,106.6835,Subtropical,Secondary Forest,28,1145,18,413,105,33,36,4.9,-1.583
61,Benanti et al. 2014,"County Laois, Irish Midlands",52.95,-7.25,Temperate,Afforestation,21,1168,9,3150,46,33,26,4.3,-0.8
62,Benanti et al. 2014,"County Laois, Irish Midlands",52.95,-7.25,Temperate,Afforestation,21,1168,9,3150,46,33,26,4.3,0.61
63,Benanti et al. 2014,"County Laois, Irish Midlands",52.95,-7.25,Temperate,Afforestation,21,1168,9,3150,46,33,26,4.3,0.49
64,Benanti et al. 2014,"County Offaly, Irish Midlands",53.3,-7.2,Temperate,Afforestation,34,934,10,621,130,24,43,6.4,-0.75
65,Benanti et al. 2014,"County Offaly, Irish Midlands",53.3,-7.2,Temperate,Afforestation,34,934,10,621,130,24,43,6.4,-0.19
66,Dou et al . 2016,"Danjiangkou Reservoir, China",32.75,111.2166,Savanna,Afforestation,46,930,15,86,140,9,33,8,3.574
67,Dou et al . 2016,"Danjiangkou Reservoir, China",32.75,111.2166,Savanna,Afforestation,46,930,15,86,140,9,33,8,5.922
68,Dou et al . 2016,"Danjiangkou Reservoir, China",32.75,111.2166,Savanna,Afforestation,46,930,15,86,140,9,33,8,-4.108
69,Wu et al. 2019a,"Danjiangkou Reservoir, China",32.75,111.2166,Temperate,Reforestation,46,930,15,86,140,9,33,8,-2.987
70,Fang et al. 2010,"Daxinganling, China",50.93,121.5,Boreal,Reforestation,12,488,-4,643,126,63,37,5.1,-0.009
71,van Straaten et al. 2019,"Dindéresso, Bobo-Dioulasso, Burkina Faso",11.225,4.447,Savanna,Secondary Forest,40,924,29,143,135,9,64,6.7,13.751
72,Tang et al. 2006,"Dinghushan, Chi",23.15,112.5,Tropical,Secondary Forest,32,1812,21,152,120,12,28,5.2,-7.796
73,Tang et al. 2006,"Dinghushan, Chi",23.15,112.5,Tropical,Primary Forest,32,1812,21,152,120,12,28,5.2,-5.519
74,Tang et al. 2006,"Dinghushan, Chi",23.15,112.5,Tropical,Reforestation,32,1812,21,152,120,12,28,5.2,-4.993
75,Zhang et al. 2008,"Dinghushan, Chi",23.16,112.16,Tropical,Primary Forest,28,1789,22,165,122,12,22,4.2,-4.8
76,Zhang et al. 2008,"Dinghushan, Chi",23.16,112.16,Tropical,Secondary Forest,28,1789,22,165,122,12,22,4.2,-2.081
77,Zhang et al. 2008,"Dinghushan, Chi",23.16,112.16,Tropical,Secondary Forest,28,1789,22,165,122,12,22,4.2,-3.34
78,Zhang et al. 2011,"Dinghushan, Chi",23.16,112.16,Tropical,Primary Forest,28,1789,22,165,122,12,22,4.2,-3.644
79,Fang et al. 2010,"Dinghushan, China ",23.16,112.56,Tropical,Reforestation,39,1772,22,187,119,17,46,5.5,-1.287
80,Zheng et al. 2016,"Dinghushan, China ",23.16,112.16,Tropical,Reforestation,28,1789,22,165,122,12,22,4.2,-1.994
81,Zheng et al. 2016,"Dinghushan, China ",23.16,112.16,Tropical,Secondary Forest,28,1789,22,165,122,12,22,4.2,-2.85
82,Zhang et al. 2017,"Dongmen Forest Farm, China",22.26,107.21,Tropical,Reforestation,40,1465,23,137,123,9,37,5,-3.723
83,Zhang et al. 2017,"Dongmen Forest Farm, China",22.26,107.21,Tropical,Reforestation,40,1465,23,137,123,9,37,5,-3.635
84,Yin et al. 2016,"Dongping, China",41.68,121.48,Temperate,Reforestation,34,518,8,383,128,29,40,6.1,-2.234
85,Yin et al. 2016,"Dongping, China",41.68,121.48,Temperate,Reforestation,34,518,8,383,128,29,40,6.1,-2.847
86,Yin et al. 2016,"Dongping, China",41.68,121.48,Temperate,Reforestation,34,518,8,383,128,29,40,6.1,-6.001
87,Dubbs & Whalen 2010,"Duke Forest, USA",35.96,-79.8,Subtropical,Reforestation,40,1137,15,81,161,15,70,5.5,-1.923
88,McLain et al. 2002,"Duke Forest, USA",35.96,-79.8,Subtropical,Reforestation,40,1137,15,81,161,15,70,5.5,-2.157
89,Phillips et al. 2001,"Duke Forest, USA ",35.96,-79.08,Subtropical,Reforestation,65,1170,15,137,149,17,65,5.4,-2.19
90,Morishita et al. 2007,"Ehime, Japan",33.58,132.9,Subtropical,Reforestation,40,2413,9,381,106,28,40,6.1,-13.006
91,Rehschuh et al. 2019,"Emmendingen, Germany",48.2333,7.15,Temperate,Reforestation,28,960,8,250,129,8,69,4.6,-4
92,Rehschuh et al. 2019,"Emmendingen, Germany",48.2333,7.15,Temperate,Reforestation,28,960,8,250,129,8,69,4.6,-3.6
93,Verchot et al. 2000,"Fazenda Agua Parada, Brazil",-2.98,-47.51,Tropical,Secondary Forest,18,1988,26,142,139,10,76,5.3,-1
94,Verchot et al. 2000,"Fazenda Vitória, Brazil",-2.98,-47.51,Tropical,Primary Forest,18,1988,26,142,139,10,76,5.3,-2.1
95,Vasconcelos et al. 2004,"Federal Rural University of Amazonia, Brazil",-1.31,-47.95,Tropical,Secondary Forest,48,2538,26,133,139,10,77,5.2,31.08
96,Assouma et al. 2017,"Ferlo, Senegal?West Africa.",15.98,-15.31,Tropical,Agroforestry,25,303,29,23,139,2,88,7,-11.68
97,Mason et al. 2019 ,"Fettjärn, Sweden",65.9244,18.4994,Boreal,Primary Forest,7,592,-1,1128,91,61,50,4.7,-0.865
98,Merino et al. 2004,"Fingio, Spain",40,-4,Subtropical,Afforestation,53,349,15,128,144,12,20,7,-6.267
99,Blankinship et al. 2010,"Flagstaff, Arizona, USA ",35.3539,111.706,Savanna,Primary Forest,48,572,12,206,122,20,42,7.4,-4.617
100,Blankinship et al. 2010,"Flagstaff, Arizona, USA ",35.3539,111.706,Savanna,Primary Forest,48,572,12,206,122,20,42,7.4,-2.584
101,Blankinship et al. 2010,"Flagstaff, Arizona, USA ",35.3539,111.706,Savanna,Primary Forest,48,572,12,206,122,20,42,7.4,-2.987
102,Hart et al. 2006,"Flagstaff, USA",35.26,-111.73,Savanna,Primary Forest,14,537,7,119,161,13,25,7.4,-2.588
103,Sullivan et al. 2011,"Flagstaff, USA ",35.08,-111.76,Savanna,Primary Forest,7,583,7,119,161,13,25,7.4,-1.067
104,Maljanen et al. 2017,"ForHot, Iceland",64.008,-21.178,Boreal,Afforestation,39,1326,4,190,123,12,71,5.6,-4.38
105,Veldkamp et al. 2013,"Fortu Forest Reserve, Pama",8.75,-82.25,Tropical,Primary Forest,34,2938,20,291,119,27,25,5.3,-0.496
106,Lohmus et al. 2019 ,"Free Air Humidity Manipulation, Estonia",58.2333,27.3,Boreal,Primary Forest,15,613,5,2426,53,50,58,4.6,0
107,Liu et al. 2012,"Fujian Province, China",27.05,118.15,Subtropical,Primary Forest,28,1754,18,107,145,12,21,5.2,-2.804
108,Liu et al. 2012,"Fujian Province, China",27.05,118.15,Subtropical,Primary Forest,28,1754,18,107,145,12,21,5.2,-2.217
109,Morishita et al. 2007,"Fukushima, Japan",37.35,140.33,Temperate,Reforestation,60,1180,12,550,88,32,33,5.8,-4.958
110,Luo et al. 2012,Germany,48.5,11.17,Temperate,Afforestation,46,815,8,263,123,29,52,6.2,-1.86
111,Veldkamp et al. 2013,"Gigante Peninsula, Pama",9.1,-79.83,Tropical,Primary Forest,NA,2396,27,163,134,15,54,5.7,-2.576
112,McNamara et al. 2008,"Gisburn, England",54.13,-2.38,Boreal,Afforestation,34,1452,8,1393,81,19,30,4.9,-0.517
113,McNamara et al. 2008,"Gisburn, England",54.13,-2.38,Temperate,Afforestation,34,1452,8,1393,81,19,30,4.9,-0.675
114,McNamara et al. 2008,"Gisburn, England",54.13,-2.38,Temperate,Afforestation,34,1452,8,1393,81,19,30,4.9,-0.578
115,McNamara et al. 2008,"Gisburn, England",54.13,-2.38,Temperate,Afforestation,34,1452,8,1393,81,19,30,4.9,-0.254
116,Dong et al. 2003,"Gongga Mountain, Chi",29,101.5,Temperate,Primary Forest,26,897,10,385,131,18,39,6.6,-6.96
117,Dong et al. 2003,"Gongga Mountain, Chi",29,101.5,Temperate,Secondary Forest,26,897,10,385,131,18,39,6.6,-3.973
118,Barrena et al. 2013,"Gorbea tiol Park, Spain",43.1,-2.8,Temperate,Reforestation,28,1043,11,624,130,14,33,5.8,-1.674
119,Barrena et al. 2013,"Gorbea tiol Park, Spain",43.1,-2.8,Temperate,Reforestation,28,1043,11,624,130,14,33,5.8,-1.651
120,Fang et al. 2009,"Guangdong, Chi",23.16,112.55,Tropical,Primary Forest,39,1770,22,165,122,12,22,4.2,-2.533
121,Cheng et al. 2013,"Guiyang city, China",26.53,106.76,Subtropical,Primary Forest,46,1105,16,178,128,14,28,6.2,-10.87
122,Mason et al. 2019 ,"Guorbaive, Sweden",65.8158,19.0483,Boreal,Primary Forest,7,565,-1,1128,91,61,50,4.7,-3.632
123,Fender et al. 2013,"Hainich tiol Park, Germany",51.06,10.5,Temperate,Reforestation,40,807,8,221,129,15,13,6.6,-0.577
124,Guckland et al. 2009,"Hainich tiol Park, Stand A, Germany",51.096667,10.390833,Temperate,Primary Forest,28,861,8,221,129,15,13,6.6,-4.427
125,Guckland et al. 2009,"Hainich tiol Park, Stand B, Germany",51.096667,10.390833,Temperate,Primary Forest,28,861,8,221,129,15,13,6.6,-3.133
126,Guckland et al. 2009,"Hainich tiol Park, Stand C, Germany",51.096667,10.390833,Temperate,Primary Forest,28,861,8,221,129,15,13,6.6,-2.953
127,Borken et al. 2006,"Harvard Forest, USA",42.53,-72.18,Temperate,Reforestation,21,1114,7,778,98,52,67,5,-15.586
128,Mojeremane et al. 2010,"Harwood Forest, England",55.16,-2.05,Temperate,Afforestation,28,952,8,2789,54,47,34,4,17.593
129,Mojeremane et al. 2010,"Harwood Forest, England",55.16,-2.05,Temperate,Afforestation,28,952,8,2789,54,47,34,4,9.782
130,Mojeremane et al. 2010,"Harwood Forest, England",55.16,-2.05,Temperate,Afforestation,28,952,8,2789,54,47,34,4,9.892
131,Epron et al. 2016,"Hauts Bois, France",48.48,6.69,Temperate,Afforestation,45,804,9,594,126,26,46,7.5,-3
132,"Sarauer and Coleman, 2018","Hayden, ID, USA",47.79,-116.84,Temperate,Afforestation,65,655,8,255,150,20,69,6.2,-0.894
133,Ishizuka et al. 2000,"HED: Hitachi Ohta, Japan ",36.56,140.58,Temperate,Primary Forest,59,1425,13,201,122,18,30,6.4,-12.045
134,Wu et al. 2019,"Heilongjiang, China",45.3666,127.5333,Temperate,Secondary Forest,21,586,3,532,115,44,40,6.6,-4.38
135,Wu et al. 2019,"Heilongjiang, China",45.3666,127.5333,Temperate,Secondary Forest,21,586,3,532,115,44,40,6.6,-5.431
136,Wu et al. 2019,"Heilongjiang, China",45.3666,127.5333,Temperate,Secondary Forest,21,586,3,532,115,44,40,6.6,-5.344
137,Wu et al. 2019,"Heilongjiang, China",45.3666,127.5333,Temperate,Secondary Forest,21,586,3,532,115,44,40,6.6,-4.468
138,Wu et al. 2019,"Heilongjiang, China",45.3666,127.5333,Temperate,Reforestation,21,586,3,532,115,44,40,6.6,-4.03
139,Wu et al. 2019,"Heilongjiang, China",45.3666,127.5333,Temperate,Primary Forest,21,586,3,532,115,44,40,6.6,-6.132
140,Wu et al. 2019,"Heilongjiang, China",45.3666,127.5333,Temperate,Secondary Forest,21,586,3,532,115,44,40,6.6,-6.745
141,Wu et al. 2019c,"Heilongjiang, China",53.2833,122.1,Boreal,Primary Forest,7,461,-5,643,126,63,37,5.1,-1.443
142,Wu et al. 2019c,"Heilongjiang, China",53.2833,122.1,Boreal,Primary Forest,7,461,-5,643,126,63,37,5.1,-0.584
143,Wu et al. 2019c,"Heilongjiang, China",53.2833,122.1,Boreal,Primary Forest,7,461,-5,643,126,63,37,5.1,-1.173
144,Shvaleva et al. 2015,"Herdade da Mochequeira de Grou, Coruche, Portugal",39.1384,-8.3329,Savanna,Agroforestry,26,709,16,124,155,13,87,5.8,-0.389
145,Li 2010,"Heshan, Chi",22.68,112.9,Tropical,Reforestation,40,1898,22,165,122,12,21,4.2,-0.296
146,Li 2010,"Heshan, Chi",22.68,112.9,Tropical,Reforestation,40,1898,22,165,122,12,21,4.2,-0.142
147,Li 2010,"Heshan, Chi",22.68,112.9,Tropical,Reforestation,40,1898,22,165,122,12,21,4.2,0.197
148,Li 2010,"Heshan, Chi",22.68,112.9,Tropical,Reforestation,40,1898,22,165,122,12,21,4.2,0.81
149,Liu et al. 2008,"Heshan, Chi",22.68,112.9,Tropical,Reforestation,40,1898,22,165,122,12,21,4.2,-3.285
150,Zhang et al. 2012,"Heshan, China ",22.56,112.83,Tropical,Afforestation,21,1945,22,113,121,10,46,5.2,-4.24
151,Zhang et al. 2012,"Heshan, China ",22.56,112.83,Tropical,Afforestation,21,1945,22,113,121,10,46,5.2,-3.492
152,Fest et al. 2017a,"Hobart, Tasmania, Australia ",-43.09,146.64,Temperate,Primary Forest,9,1577,10,151,110,11,53,5.2,-3.83
153,Butterbach-Bahl et al. 2002b,"Höglwald, Germany",48.5,11.18,Boreal,Reforestation,46,817,8,263,123,29,52,6.2,-5.333
154,Butterbach-Bahl et al. 2002b,"Höglwald, Germany",48.5,11.18,Boreal,Reforestation,46,817,8,263,123,29,52,6.2,-2.5
155,Wu et al. 2011,"Höglwald Forest, Germany",48.29,11.075,Boreal,Afforestation,28,902,8,115,135,8,28,7.1,-1.573
156,Luo et al. 2013,"Höglwald, Germany",48.5,11.18,Temperate,Reforestation,46,817,8,263,123,29,52,6.2,-4.16
157,Kim et al. 2012,"Hokkaido University Sapporo, Japan",43.1,141.33,Temperate,Afforestation,84,1192,9,941,111,68,38,6.2,-0.964
158,Morishita et al. 2007,"Hokkaido-1, Japan",43.13,141.96,Temperate,Reforestation,40,1179,6,325,118,19,40,6.2,-6.617
159,Morishita et al. 2007,"Hokkaido-2, Japan",43.2,141.9,Temperate,Reforestation,21,1144,7,325,118,19,40,6.2,-10.868
160,Morishita et al. 2007,"Hokkaido-3, Japan",43.36,141.6,Temperate,Reforestation,40,1221,7,941,111,68,38,6.2,-0.339
162,Ishizuka et al. 2009,"Japanese Archipelago ANM, Japan",39.98,140.4,Temperate,Reforestation,40,1547,10,325,118,19,40,6.2,-3.979
163,Ishizuka et al. 2009,"Japanese Archipelago AP, Japan",40,140.93,Temperate,Primary Forest,45,1515,6,550,88,32,33,5.8,-8.468
164,Ishizuka et al. 2009,"Japanese Archipelago HG1, Janpan",42.98,141.4,Temperate,Primary Forest,65,1243,7,431,85,37,40,5.8,-15.075
165,Ishizuka et al. 2009,"Japanese Archipelago HG2, Janpan",42.98,141.4,Temperate,Primary Forest,65,1243,7,431,85,37,40,5.8,-12.082
166,Ishizuka et al. 2009,"Japanese Archipelago HG3, Janpan",42.98,141.38,Temperate,Primary Forest,78,1242,7,941,111,68,38,6.2,-9.417
167,Ishizuka et al. 2009,"Japanese Archipelago IB, Japan",35.2,137.56,Subtropical,Reforestation,28,2176,10,381,106,28,40,6.1,-16.352
168,Ishizuka et al. 2009,"Japanese Archipelago JK, Japan",42.98,141.16,Temperate,Reforestation,53,1335,6,941,111,68,38,6.2,-6.315
169,Ishizuka et al. 2009,"Japanese Archipelago KB1, Japan",36.3,140.15,Temperate,Afforestation,40,1482,12,550,88,32,33,5.8,-25.076
170,Ishizuka et al. 2009,"Japanese Archipelago KB2, Japan",36.31,140.15,Temperate,Reforestation,40,1442,12,550,88,32,33,5.8,-17.192
171,Ishizuka et al. 2009,"Japanese Archipelago KH, Japan",33.13,130.71,Subtropical,Reforestation,28,1918,15,381,106,28,40,6.1,-8.614
172,Ishizuka et al. 2009,"Japanese Archipelago OD1, Japan",35.85,138.65,Temperate,Primary Forest,34,1960,3,301,123,17,38,6.2,-10.622
173,Ishizuka et al. 2009,"Japanese Archipelago OD2, Japan",35.85,138.65,Temperate,Reforestation,34,1960,3,301,123,17,38,6.2,-11.644
174,Ishizuka et al. 2009,"Japanese Archipelago OG1, Japan",36.93,140.58,Temperate,Primary Forest,28,1421,10,381,106,28,40,6.1,-8.943
175,Ishizuka et al. 2009,"Japanese Archipelago OG2, Japan",36.93,140.58,Temperate,Primary Forest,28,1421,10,381,106,28,40,6.1,-17.228
176,Ishizuka et al. 2009,"Japanese Archipelago OG3, Japan",36.93,140.58,Temperate,Reforestation,28,1421,10,381,106,28,40,6.1,-14.491
177,Ishizuka et al. 2009,"Japanese Archipelago OG4, Japan",36.93,140.58,Temperate,Secondary Forest,28,1421,10,381,106,28,40,6.1,-16.535
178,Ishizuka et al. 2009,"Japanese Archipelago OK, Japan",26.51,127.98,Subtropical,Primary Forest,65,2080,23,170,125,14,37,5,-0.694
179,Ishizuka et al. 2009,"Japanese Archipelago OT, Japan",35.91,137.31,Subtropical,Reforestation,34,1917,10,301,123,17,38,6.2,-9.892
180,Ishizuka et al. 2009,"Japanese Archipelago SK, Japan",43.66,143.1,Temperate,Primary Forest,51,1207,2,183,130,13,36,5.4,-10.695
181,Ishizuka et al. 2009,"Japanese Archipelago ST, Japan",35.23,137.13,Subtropical,Reforestation,90,2105,14,216,121,18,38,5.1,-7.118
182,Ishizuka et al. 2009,"Japanese Archipelago TZ, Japan",39.76,140.71,Temperate,Reforestation,28,1534,9,262,122,22,38,5.9,-8.76
183,Mason et al. 2019 ,"Jarvliden, Sweden",65.5691,18.4002,Boreal,Secondary Forest,20,599,-1,1128,91,61,50,4.7,-3.414
184,"Sarauer and Coleman, 2018","Jefferson, OR, USA",44.69,-122.95,Temperate,Afforestation,46,1079,11,113,139,17,24,5.2,-1.428
185,Morishita et al. 2007,"Kagoshima, Japan",31.573,131.239,Subtropical,Reforestation,28,2526,16,550,88,32,33,5.8,-7.428
186,Maljanen et al. 2014,"Kannus, Finland",63.86,23.73,Boreal,Afforestation,40,527,3,1907,82,106,58,4.4,-21.462
188,Maljanen et al. 2014,"Kannus, Finland",63.9,23.93,Boreal,Afforestation,78,522,3,3391,50,28,39,4.3,-5.694
189,Wanyama et al. 2019,"Kapkatugor, Kenia",-0.3169,35.3833,Tropical,Primary Forest,34,1624,17,241,115,29,21,4.7,-5.84
190,Wanyama et al. 2019,"Kapkatugor, Kenia",-0.3169,35.3833,Tropical,Reforestation,34,1624,17,241,115,29,21,4.7,-3.43
191,Lohila et al. 2016,"Kenttärova, Finland",67.98,24.24,Boreal,Primary Forest,20,525,-1,2024,81,119,63,4.4,-4.526
192,Saari et al. 2004,"Kerimäki, Finland",61.85,29.36,Boreal,Primary Forest,21,598,3,NA,NA,NA,156,15.6,-7.183
193,Morishita et al. 2007,"Kochi-1, Japan",33.46,133,Subtropical,Reforestation,28,2418,11,381,106,28,40,6.1,-12.877
194,Morishita et al. 2007,"Kochi-2, Japan",33.43,133.01,Subtropical,Reforestation,28,2172,13,381,106,28,40,6.1,-8.287
195,Ishizuka et al. 2000,"KRD, Kaba, Japan ",36.33,140.3,Temperate,Primary Forest,53,1374,13,550,88,32,33,5.8,-27.74
196,Morishita et al. 2007,"Kyoto, Japan",34.78,135.85,Subtropical,Primary Forest,65,1525,14,553,122,40,32,6.2,-5.583
197,Mason et al. 2019 ,"Laddok, Sweden",65.9452,18.3769,Boreal,Primary Forest,6,594,-1,1128,91,61,50,4.7,-3.21
198,Korkiakoski et al. 2017,"Lettosuo, Finland",60.63,23.95,Boreal,Secondary Forest,26,672,4,317,128,18,77,4.1,-2.19
