"DSNUM","NAME","Lat","Long","Coordinate_System","USGS_ID","HUC","METHOD_SOURCE","Data_Source","ECOREGION","STATE","Surface_Area_acres","DRAIN_SQMILE","NET_SED_CONTRIB_SQMILE","SEDI_RATE_MEAN_ACFT_YR","Sed_Yield_m_yr","Sed_Yield_mm_yr","Sed.Rate..mm.yr.","slope_calc","forest_calc","crops_calc"
"60033","WEST TANK",334760,1133560,"",".",".","5","RESSED","10.2","AZ",1.71,"0.29",0.29,0.037209302,"6.11063E-05",0.061106284,6.6,0.452627242154661,0,65.06
"62016","BILL SNOW POND",370600,1133700,"",".",".","3","RESSED","10.1","UT",1.1,"0.057",0.057,0.103030303,"0.00086084",0.860840061,28.5,7.75596130217922,0.21,3.03
"62015","LITTLE GRASSY POND",370600,1133560,"",".",".","5","RESSED","10.1","UT",1.1,"2.3",2.3,0.101321586,"2.098E-05",0.020980049,28.1,7.75596130217922,0.21,3.03
"70122","GOLF CLUB DRIVE DEBRIS BASIN",341010,1181215,"",".",".","1","RESSED","11.1","CA",NA,"0.32",0.32,0.284722222,"0.000423744",0.423744168,NA,8.92260206534965,2.13,0.04
"70054","SCHOLL DEBRIS BASIN",340912,1181207,"",".",".","1","RESSED","11.1","CA",NA,"0.66",0.66,0.424252492,"0.000306135",0.30613488,NA,8.92260206534965,2.13,0.04
"51004","LAKE DALLAS",330407,965750,"","08052800","12030103","1","RESSED","9.4","TX",10885,"1174",1157,1291.226415,"0.000531498",0.531497702,36.2,1.43209618416465,11.46,11.76
"75010","CRABTREE",471607,1221309,"",".",".","1","RESSED","7.1","WA",0.89,"0.475",0.11,0.181333333,"0.000785086",0.785086135,62.1,3.55350467218902,10.25,0
"70091","CHILDS DEBRIS BASIN",341120,1181646,"",".",".","1","RESSED","11.1","CA",NA,"0.31",0.31,1.796,"0.002759161",2.759160643,NA,13.2625533134947,0.65,0
"70092","ELMWOOD DEBRIS BASIN",341127,1181709,"",".",".","1","RESSED","11.1","CA",NA,"0.31",0.31,1.339215686,"0.002057412",2.057411589,NA,13.2625533134947,0.65,0
"70059","SUNSET CANYON DEBRIS DAM (UPPER)",341217,1181706,"",".",".","1","RESSED","11.1","CA",0.46,"0.44",0.44,1.020081967,"0.001104116",1.104116098,675.9,13.2625533134947,0.65,0
"70102","SUNSET DEBRIS BASIN (LOWER)",341145,1181747,"",".",".","1","RESSED","11.1","CA",NA,"0.65",0.65,5.910810811,"0.004330779",4.330779281,NA,13.2625533134947,0.65,0
"70039","BRAND DEBRIS BASIN",341103,1181634,"",".",".","1","RESSED","11.1","CA",NA,"1.03",1.03,1.603341289,"0.000741346",0.741346258,NA,13.2625533134947,0.65,0
"57001","ELEPHANT BUTTE",330915,1071130,"","08360500","13020211","7","RESSED","10.2","NM",40064,"25923",25866,7939.684932,"0.000146186",0.146186189,60.4,8.1100478294191,28.76,1.12
"4022","KAERCHER CREEK, PA-476",403401,755701,"WGS84",".",".","1","RESSED","8.4","PA",5.39,"0.5",0.49,0.106185567,"0.000103205",0.103205242,6,5.73895597836543,43.41,10.82
"75012","SCHWISOW",470700,1181200,"",".",".","3","RESSED","10.1","WA",1,"4.15",4.15,0.354,"4.06245E-05",0.040624452,107.9,1.31757062994498,0,9.94
"51012","KEMP CITY RESERVOIR",322532,961159,"",".",".","1","RESSED","8.3","TX",42.8,"1.48",1.42,6.09375,"0.002043754",2.043754079,43.4,0.521377202138141,7.79,0.01
"17","Cedar",321050,960408,"WGS84","8063000","12030107",".","Texas Water Board",".","TX",32873,"733.0",733,860.375,"0.000559006",0.559,8,0.910926135686974,13.09,1.79
"54002","LAKE NASWORTHY",312317,1002841,"","08132000","12090102","7","RESSED","9.4","TX",1326,"3294",3119,97.96460177,"1.49584E-05",0.014958435,22.5,1.18585327984601,0.25,3.26
"76009","HENRY KORTEMEIER POND",465518,1165349,"",".",".","5","RESSED","10.1","ID",0.66,"0.021",0.02,0.023170732,"0.00055175",0.551749694,10.7,4.42017380081198,16.69,13.2
"76005","DAN HOLT POND",472034,1171336,"",".",".","5","RESSED","10.1","WA",0.44,"0.11",0.109,0.012328767,"5.38673E-05",0.053867336,8.5,4.51698533429704,0.65,81.73
"45022","LAKE SCARBOW",361648,951742,"",".",".","1","RESSED","9.2","OK",21.8,"3.07",3.04,1.3875,"0.000217366",0.217366071,19.4,0.945294582709616,18.54,1.45
"78013","HAWKINS POND NO. 1",435930,1174229,"",".",".","5","RESSED","10.1","OR",0.44,"0.12",NA,0.00974359,"",NA,6.7,3.21092756527563,0,0.87
"78014","HAWKINS POND NO. 2",435930,1174229,"",".",".","5","RESSED","10.1","OR",2.05,"0.27",NA,0.046153846,"",NA,6.9,3.21092756527563,0,0.87
"33003","HARRY STRUNK LAKE (MEDICINE CREEK DAM)",402246,1001251,"","06842500","10250008","7","RESSED","9.4","NE",3457,"656",653,310,"0.00022609",0.226089743,27.3,4.11248963417778,1.21,26.25
"35014","PETERSON FARM POND",403925,961109,"",".",".","5","RESSED","9.2","NE",0.534,"0.075",0.074,0.186324786,"0.001199144",1.199143783,106.4,1.78704860972136,1.76,67.13
"35037","ONEILL RESERVOIR",403925,961109,"",".",".","5","RESSED","9.2","NE",6.1,"0.14",0.13,NA,"",NA,NA,1.78704860972136,1.76,67.13
"35013","JENSEN-ONEIL FARM POND",403925,961109,"",".",".","5","RESSED","9.2","NE",3.95,"0.199",0.193,0.686666667,"0.00169442",1.694419749,53,1.78704860972136,1.76,67.13
"32022","CORNELSON",394250,961959,"",".",".","5","RESSED","9.2","KS",2.58,"0.125",0.12,0.393220339,"0.001560584",1.560583731,46.5,1.51798288911989,7.03,77.62
"32021","EKSTRUM",394250,961959,"",".",".","5","RESSED","9.2","KS",2.28,"0.16",0.15,0.198275862,"0.000629522",0.629522034,26.5,1.51798288911989,7.03,77.62
"31057","HALL POND",381422,945225,"",".",".","1","RESSED","9.2","KS",5.5,"0.38",0.37,0.27016129,"0.000347739",0.347739276,15,3.83308849905768,61.7,17.45
"46013","CANTON LAKE",360454,983608,"","07238500","11100301","7","RESSED","9.4","OK",15750,"12483",6081,500,"3.91586E-05",0.039158617,9.7,0.962478552651696,0.85,31.3
"71015","PARDEE",381526,1205100,"","11320000","18040012","7","RESSED","11.1","CA",2250,"387",383.5,57.94326241,"7.19565E-05",0.071956482,7.8,16.2672449613404,68.67,0
"57018","SANTA CRUZ RIVER WATERSHED, SITE NO. 6 (ALAMO ARROYO)",355836,1055906,"",".",".","1","RESSED","10.1","NM",21.1,"3.15",3.12,11.56461538,"0.001765261",1.765261086,167.1,6.84842158904521,0.02,3.68
"24051","LOCK AND DAM 26",385312,901104,"","05587498","07110009","1","RESSED","8.3","IL",30000,"171470",NA,2444.976077,"",NA,24.8,1.91869107800674,17.45,50.34
"70011","ENCINO RESERVOIR",340852,1183101,"",".",".","7","RESSED","11.1","CA",78,"1.42",1.3,1.049723757,"0.00038456",0.384559923,4.1,4.88121606455145,1.93,0.23
"46001","FORT SUPPLY LAKE",363312,993416,"","07236500","11100203","7","RESSED","9.4","OK",5731,"1735",1485,94,"3.01463E-05",0.030146281,5,1.36910848723903,0.15,22.04
"35040","PICKRELL RESERVOIR NO. 3",404059,961609,"",".",".","5","RESSED","9.2","NE",1.08,"0.088",0.086,0.202777778,"0.001122934",1.122934064,57.2,2.33637197303196,3.37,78.99
"35039","PICKRELL RESERVOIR NO. 2",404059,961609,"",".",".","5","RESSED","9.2","NE",1.06,"0.102",0.1,0.074333333,"0.00035401",0.354010347,21.4,2.33637197303196,3.37,78.99
"35041","PICKRELL RESERVOIR NO. 4",404059,961609,"",".",".","5","RESSED","9.2","NE",0.92,"0.114",0.113,NA,"",NA,NA,2.33637197303196,3.37,78.99
"35038","PICKRELL RESERVOIR NO. 1",404059,961609,"",".",".","5","RESSED","9.2","NE",6.59,"0.336",0.326,0.42625,"0.0006227",0.622700393,19.7,2.33637197303196,3.37,78.99
"19022","ALLEN LAKE",403848,833634,"",".",".","5","RESSED","8.2","OH",2.75,"0.5",0.5,0.132824427,"0.000126514",0.126514498,14.7,1.01975718447555,1.92,28.2
"54010","VALLEY CREEK WATERSHED, SITE NO. 18",315952,1000602,"",".",".","1","RESSED","9.4","TX",64.33,"4.21",4.11,0.929457364,"0.000107701",0.107701065,4.4,0.550022587046949,0.96,47.86
"76902","Hovrud Sediment Basin",462630,1174600,"",".",".","3","RESSED","10.1","WA",2.7,"3.6",3.6,1.657894737,"0.000219324",0.219324324,187.2,13.8203395270105,1.73,19.73
"36018","VERMILLION WATERSHED NO. A",434200,972400,"",".",".","5","RESSED","9.2","SD",0.572,"0.075",0.075,0.051456311,"0.000326746",0.326745586,27.4,0.704702551294888,1.13,58.05
"35024","ROE FARM POND",410705,983244,"",".",".","5","RESSED","9.4","NE",0.29,"0.18",0.18,0.0714,"0.000188911",0.188911351,75,1.41491805831846,5.83,19.08
"31060","BETHANY",401847,940152,"",".",".","7","RESSED","9.2","MO",72.61,"1.041",0.928,3.229007634,"0.001657118",1.657118033,13.6,3.86160740967507,33.55,6.89
"35042","POLLARD RESERVOIR",404945,955929,"",".",".","5","RESSED","9.2","NE",1.38,"0.1",0.098,0.154761905,"0.000752091",0.752090908,34.2,2.86812048731474,8.41,43.86
"51017","LAKE ERIE",324333,971309,"",".",".","1","RESSED","9.4","TX",28,"1.05",1.01,1.658291457,"0.000781937",0.781937133,18.1,1.06557862775058,5.98,0
"19028","SCHOTT POND",400733,825545,"",".",".","5","RESSED","8.2","OH",1.65,"0.82",0.82,0.082059801,"4.76594E-05",0.047659442,15.2,1.1457628381751,7.17,2.68
"48001","JOHN MARTIN RESERVOIR (FORMERLY CADDOA RESERVOIR PROJECT)",380402,1025614,"","380359102561301","11020009","7","RESSED","9.4","CO",17875,"18130",9090,2363.963964,"0.000123854",0.123853795,40.3,6.57716020239273,20.26,1.62
"53023","BUFFALO TANK (KNOX TANK)",314937,992533,"",".",".","5","RESSED","9.4","TX",9.6,"1.73",1.71,0.101970443,"2.83995E-05",0.02839949,3.2,0.922382358758336,2.55,30.82
"53024","R.G. HOLLINGSWORTH STOCK POND",314937,992533,"",".",".","5","RESSED","9.4","TX",10.4,"2.6",2.58,1.686486486,"0.000311312",0.311311746,49.4,0.922382358758336,2.55,30.82
"70060","VANALDEN DEBRIS BASIN",340815,1183326,"",".",".","1","RESSED","11.1","CA",NA,"1.08",1.08,0.068518519,"3.02146E-05",0.03021458,NA,2.57085380560538,0.29,0.03
"45055","BIG WEWOKA, SITE NO. 17",351041,963418,"",".",".","1","RESSED","9.4","OK",71.7,"2.16",2.05,3.337142857,"0.000775271",0.775270547,14.2,3.47930037215805,63.84,0
"27004","PRAIRIE DU SAC",431836,894329,"",".",".","7","RESSED","8.1","WI",NA,"8900",600,428.9473684,"0.000340475",0.340474903,NA,1.62103789492593,32.81,23.79
"41001","ANDERSON RESERVOIR",481013,1115643,"",".",".","5","RESSED","9.3","MT",2,"0.156",0.156,0.021119593,"6.44753E-05",0.064475288,3.2,0.160427763386285,0,67.7
"75003","HIGH VALLEY RANCH NO. 2 POND",465948,1203248,"",".",".","5","RESSED","10.1","WA",0.22,"0.184",0.184,0.00619469,"1.60337E-05",0.016033714,8.6,0.836458951072296,0,1.48
"75004","HIGH VALLEY RANCH NO. 3 POND",465948,1203248,"",".",".","5","RESSED","10.1","WA",0.28,"0.312",0.312,0.009734513,"1.48591E-05",0.014859083,10.6,0.836458951072296,0,1.48
"70050","NICHOLS DEBRIS BASIN",340622,1182134,"",".",".","1","RESSED","11.1","CA",NA,"0.94",0.94,1.705792683,"0.000864233",0.864232793,NA,5.21664197920187,0.79,0.01
"21044","WYANDOT LAKE",393513,823430,"",".",".","1","RESSED","8.4","OH",1.9,"0.58",0.58,0.380555556,"0.00031248",0.31248014,61,12.7458085871267,87.02,0
"71021","LAKEWOOD",375415,1220242,"",".",".","1","RESSED","11.1","CA",4.22,"0.75",0.74,0.058421053,"3.75985E-05",0.037598456,4.2,6.62804464772263,2.41,0
"75021","TERWILLIGER (FU 273, BLK. 1)",465804,1190218,"",".",".","5","RESSED","10.1","WA",0.39,"0.05",0.05,0.167647059,"0.001596829",1.596828526,131,1.03121266988795,0,82.75
"35022","TRACY NORTH",420311,951300,"",".",".","1","RESSED","9.2","IA",5.01,"0.245",0.238,0.819708029,"0.001640267",1.640267123,49.9,4.11818970398878,3.26,89.72
"61005","ELLSWORTH TANK",344600,1100759,"",".",".","3","RESSED","10.1","AZ",0.55,"0.25",0.249,0.545273632,"0.001042912",1.042911599,302.2,1.16294459572022,0,0
"30002","FRAZEE",464316,954229,"",".",".","1","RESSED","5.2","MN",50.6,"210",24,0.691119691,"1.37143E-05",0.013714323,4.2,2.26772797724333,51.65,3.87
"17002","OAKLAND CITY NO. 2",382047,871955,"",".",".","1","RESSED","8.3","IN",87,"0.52",0.4,0.637188209,"0.000758648",0.758647598,2.2,2.16474983109726,38.26,19.09
"50011","ALTUS RESERVOIR",345310,991744,"","345311099174201","11120303","7","RESSED","9.4","OK",6772,"2515",2104,940.1140684,"0.000212798",0.212797815,42.3,1.4893547265514,1.48,20.28
"99904","Lake Minatare",415507,1032925,"",".",".","7","RESSED","9.4","NE",2147,"7.5",7.5,45.5704698,"0.002893707",2.893707237,6.5,1.97592069533508,0.21,40.15
"21040","BLAZOR LAKE",404200,810560,"",".",".","5","RESSED","8.4","OH",0.1,"0.07",0.07,0.021428571,"0.00014579",0.14578993,65.3,6.16405244282882,54.92,5.42
"21041","BRADEN LAKE",404200,810560,"",".",".","5","RESSED","8.4","OH",0.1,"0.12",0.12,0.01375,"5.457E-05",0.054569981,41.9,6.16405244282882,54.92,5.42
"35035","NIEBUER RESERVOIR",404005,960146,"",".",".","5","RESSED","9.2","NE",3.09,"0.163",0.158,0.44375,"0.001337561",1.337561092,43.8,2.65661873146913,5.95,67.93
"35028","BREHMER RESERVOIR",404005,960146,"",".",".","5","RESSED","9.2","NE",2.49,"0.184",0.18,0.376,"0.000994827",0.994827284,46,2.65661873146913,5.95,67.93
"75011","LLEWELLYN",474656,1184213,"",".",".","1","RESSED","10.1","WA",3.8,"1.25",1.25,0.91,"0.000346708",0.346707892,73,1.71835800165546,0.07,56.9
"6011","JOHN H. KERR",363554,781756,"WGS84","02079490","03010102","7","RESSED","8.3","VA",83200,"7800",7391,7844.72973,"0.000505484",0.505483672,28.7,6.27729848959755,62.65,1.33
"47013","DOWNING",371613,1010607,"",".",".","1","RESSED","9.4","KS",5.1,"0.47",0.46,0.127083333,"0.000131572",0.13157189,7.6,0.269288180864529,0,70.52
"46041","DAVIS",380556,1003538,"",".",".","1","RESSED","9.4","KS",17.28,"2.4",2.37,0.414457831,"8.32845E-05",0.083284532,7.3,0.458356458000432,0.1,84.81
"37021","HARRIS RESERVOIR NORTH",424816,1021210,"",".",".","5","RESSED","9.4","NE",2.16,"0.577",0.573,0.182105263,"0.000151356",0.151356203,25.7,1.5695116617372,0.28,5.41
